loc,FMP_SUBAREA
-174.333333333333_57.6666666666667,BS
-174.333333333333_58,BS
-174.333333333333_58.3333333333333,BS
-174.666666666667_51.6666666666667,AI
-174.666666666667_52,AI
-174.666666666667_52.3333333333333,AI
-174.666666666667_57.6666666666667,BS
-174.666666666667_58,BS
-174.666666666667_58.3333333333333,BS
-174_51.3333333333333,AI
-174_51.6666666666667,AI
-174_52,AI
-174_52.3333333333333,AI
-174_56.3333333333333,BS
-174_56.6666666666667,BS
-174_57,BS
-174_57.3333333333333,BS
-174_57.6666666666667,BS
-174_58,BS
-174_58.3333333333333,BS
-175.333333333333_51.3333333333333,AI
-175.333333333333_51.6666666666667,AI
-175.333333333333_52,AI
-175.333333333333_58,BS
-175.333333333333_58.3333333333333,BS
-175.333333333333_58.6666666666667,BS
-175.666666666667_51.3333333333333,AI
-175.666666666667_51.6666666666667,AI
-175.666666666667_52,AI
-175.666666666667_58,BS
-175.666666666667_58.3333333333333,BS
-175.666666666667_58.6666666666667,BS
-175.666666666667_60.3333333333333,BS
-175_51.6666666666667,AI
-175_52,AI
-175_52.3333333333333,AI
-175_58.3333333333333,BS
-176.333333333333_51.3333333333333,AI
-176.333333333333_51.6666666666667,AI
-176.333333333333_52,AI
-176.333333333333_58.3333333333333,BS
-176.333333333333_58.6666666666667,BS
-176.333333333333_59,BS
-176.333333333333_60,BS
-176.666666666667_51.3333333333333,AI
-176.666666666667_51.6666666666667,AI
-176.666666666667_52,AI
-176.666666666667_52.6666666666667,AI
-176.666666666667_58.3333333333333,BS
-176.666666666667_58.6666666666667,BS
-176_51,AI
-176_51.3333333333333,AI
-176_51.6666666666667,AI
-176_52,AI
-176_58.3333333333333,BS
-176_58.6666666666667,BS
-177.333333333333_51.3333333333333,AI
-177.333333333333_51.6666666666667,AI
-177.333333333333_52,AI
-177.333333333333_58.3333333333333,BS
-177.333333333333_58.6666666666667,BS
-177.333333333333_59.3333333333333,BS
-177.666666666667_51.3333333333333,AI
-177.666666666667_51.6666666666667,AI
-177.666666666667_58.3333333333333,BS
-177.666666666667_58.6666666666667,BS
-177_51.3333333333333,AI
-177_51.6666666666667,AI
-177_52,AI
-177_58.3333333333333,BS
-177_58.6666666666667,BS
-177_59,BS
-178.333333333333_51.3333333333333,AI
-178.333333333333_51.6666666666667,AI
-178.333333333333_58.6666666666667,BS
-178.333333333333_59,BS
-178.333333333333_59.3333333333333,BS
-178.333333333333_59.6666666666667,BS
-178.333333333333_60,BS
-178.333333333333_60.3333333333333,BS
-178.666666666667_51,AI
-178.666666666667_51.3333333333333,AI
-178.666666666667_51.6666666666667,AI
-178.666666666667_58.6666666666667,BS
-178.666666666667_59,BS
-178.666666666667_59.3333333333333,BS
-178.666666666667_59.6666666666667,BS
-178.666666666667_60,BS
-178_51.3333333333333,AI
-178_51.6666666666667,AI
-178_52,AI
-178_52.6666666666667,AI
-178_58.6666666666667,BS
-178_59,BS
-178_59.3333333333333,BS
-179.333333333333_51,AI
-179.333333333333_51.3333333333333,AI
-179.333333333333_51.6666666666667,AI
-179.333333333333_52.6666666666667,AI
-179.333333333333_54,AI
-179.333333333333_59.6666666666667,BS
-179.333333333333_60,BS
-179.333333333333_60.3333333333333,BS
-179.666666666667_51,AI
-179.666666666667_51.3333333333333,AI
-179.666666666667_52,AI
-179.666666666667_52.3333333333333,AI
-179.666666666667_52.6666666666667,AI
-179.666666666667_53,AI
-179.666666666667_54,AI
-179.666666666667_54.3333333333333,AI
-179_51,AI
-179_51.3333333333333,AI
-179_51.6666666666667,AI
-179_59.6666666666667,BS
-179_60,BS
-179_60.3333333333333,BS
-180.333333333333_51.3333333333333,AI
-180.333333333333_51.6666666666667,AI
-180.333333333333_52,AI
-180.333333333333_52.3333333333333,AI
-180.333333333333_52.6666666666667,AI
-180.333333333333_53.3333333333333,AI
-180.333333333333_53.6666666666667,AI
-180.333333333333_54,AI
-180.333333333333_54.3333333333333,AI
-180.666666666667_51,AI
-180.666666666667_51.3333333333333,AI
-180.666666666667_51.6666666666667,AI
-180.666666666667_52,AI
-180.666666666667_52.3333333333333,AI
-180.666666666667_54,AI
-180.666666666667_54.3333333333333,AI
-180_51.3333333333333,AI
-180_52,AI
-180_52.3333333333333,AI
-180_52.6666666666667,AI
-180_53,AI
-180_53.3333333333333,AI
-180_53.6666666666667,AI
-180_54,AI
-180_54.3333333333333,AI
-181.333333333333_51,AI
-181.333333333333_51.3333333333333,AI
-181.333333333333_51.6666666666667,AI
-181.333333333333_52,AI
-181.333333333333_54.3333333333333,AI
-181.333333333333_54.6666666666667,AI
-181.666666666667_51.3333333333333,AI
-181.666666666667_52,AI
-181.666666666667_54.6666666666667,AI
-181_51,AI
-181_51.3333333333333,AI
-181_51.6666666666667,AI
-181_52,AI
-181_54,AI
-181_54.3333333333333,AI
-181_54.6666666666667,AI
-182.333333333333_51.3333333333333,AI
-182.333333333333_51.6666666666667,AI
-182.333333333333_52,AI
-182.666666666667_51.6666666666667,AI
-182.666666666667_52,AI
-182_51.3333333333333,AI
-182_52,AI
-182_54.6666666666667,AI
-183.333333333333_51.3333333333333,AI
-183.333333333333_51.6666666666667,AI
-183.333333333333_52,AI
-183.333333333333_55,BS
-183.666666666667_51,AI
-183.666666666667_51.6666666666667,AI
-183.666666666667_52,AI
-183.666666666667_54.6666666666667,AI
-183.666666666667_55,AI
-183_51.3333333333333,AI
-183_51.6666666666667,AI
-183_52,AI
-184.333333333333_51.3333333333333,AI
-184.333333333333_51.6666666666667,AI
-184.333333333333_52,AI
-184.333333333333_52.3333333333333,AI
-184.666666666667_51.3333333333333,AI
-184.666666666667_51.6666666666667,AI
-184.666666666667_52,AI
-184.666666666667_52.3333333333333,AI
-184_51.6666666666667,AI
-184_52,AI
-184_54.6666666666667,AI
-185.333333333333_51.6666666666667,AI
-185.333333333333_52,AI
-185.333333333333_52.3333333333333,AI
-185.333333333333_52.6666666666667,AI
-185.666666666667_51.6666666666667,AI
-185.666666666667_52,AI
-185.666666666667_52.3333333333333,AI
-185.666666666667_52.6666666666667,AI
-185_51.6666666666667,AI
-185_52,AI
-185_52.3333333333333,AI
-186.333333333333_52,AI
-186.333333333333_52.3333333333333,AI
-186.333333333333_52.6666666666667,AI
-186.666666666667_52,AI
-186.666666666667_52.3333333333333,AI
-186.666666666667_52.6666666666667,AI
-186_52,AI
-186_52.3333333333333,AI
-186_52.6666666666667,AI
-187.333333333333_52,AI
-187.333333333333_52.3333333333333,AI
-187.333333333333_53,AI
-187.333333333333_54,AI
-187.666666666667_52.3333333333333,AI
-187.666666666667_52.6666666666667,AI
-187.666666666667_53,AI
-187_52,AI
-187_52.3333333333333,AI
-187_52.6666666666667,AI
